# File Name: H:\ccg quantstudio\2023-01-16_161000 sc try23_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313047
# Instrument Serial Number: 272313047
# Heated Cover Serial Number:
# Block Serial Number: 21114869
# Run Start Date/Time: 2023-01-16 05:13:56 PM CST
# Run End Date/Time: 2023-01-16 06:25:45 PM CST
# Run Duration: 71 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-01-17 11:22:37 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported On: 2023-01-19 09:45:47 AM CST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"60","E12","false","06 pi 45min","Scspl2","UNKNOWN","SYBR","None","Amp","1.1730428213267374","","","26.78107044697807","0.9176113453778286","31.900361177275197","4.4862058186660105","true","0.047918776049736336","true","3","21","66.00711059570312","68.7939682006836","71.91525268554688",""
"61","F1","false","b4","Scspl2","UNKNOWN","SYBR","None","Amp","1.1599828860626626","","","28.489011610147934","0.900374098734321","28.26444638166918","0.39897808627955966","true","0.047918776049736336","true","3","24","64.81947326660156","","",""
"62","F2","false","b4","Scspl2","UNKNOWN","SYBR","None","Amp","1.151335377452639","","","28.646072630615983","0.9205704118695752","28.26444638166918","0.39897808627955966","true","0.047918776049736336","true","3","25","66.05509185791016","75.60310363769531","",""
"63","F3","false","7 0hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.2078052279037153","","","27.091924784675644","0.932153795599824","26.84389561166661","0.67241460700906","true","0.047918776049736336","true","3","24","65.4806137084961","","",""
"64","F4","false","7 0hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.178037499946399","","","27.175614944235498","0.9132798111404049","26.84389561166661","0.67241460700906","true","0.047918776049736336","true","3","22","64.47174835205078","78.48377227783203","74.67250061035156","66.04109191894531"
"65","F5","false","06pi 0hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.17760355423423","","","26.290447889017315","0.9485097424188773","27.526731046327978","2.1043278400038026","true","0.047918776049736336","true","3","23","75.31647491455078","78.11393737792969","",""
"66","F6","false","06pi 0hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.1710952625954762","","","27.44663231775708","0.9555593479985318","27.526731046327978","2.1043278400038026","true","0.047918776049736336","true","3","25","64.6861343383789","74.53318786621094","",""
"67","F7","false","0pi 0hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.1595860807275749","","","27.520279859813954","0.919462537308161","27.153105568916835","0.5120428072267814","true","0.047918776049736336","true","3","23","66.36473083496094","74.97972869873047","",""
"68","F8","false","0pi 0hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.1675634524018839","","","27.625948219804627","0.9187673151766099","27.153105568916835","0.5120428072267814","true","0.047918776049736336","true","3","23","74.64408111572266","64.23895263671875","",""
"69","F9","false","7pi 45min","Scspl2","UNKNOWN","SYBR","None","Amp","1.1858473238494143","","","27.57289656499799","0.9336338312571226","27.80049696037387","0.9170782468654188","true","0.047918776049736336","true","3","25","65.81842803955078","","",""
"70","F10","false","7pi 45min","Scspl2","UNKNOWN","SYBR","None","Amp","1.1602540128560879","","","26.977361767706576","0.9425502407543948","27.80049696037387","0.9170782468654188","true","0.047918776049736336","true","3","23","65.14558410644531","","",""
"71","F11","false","06 pi 45min","Scspl2","UNKNOWN","SYBR","None","Amp","1.1075681601671659","","","33.77393842521289","0.892556826103207","31.900361177275197","4.4862058186660105","true","0.047918776049736336","true","3","31","64.55794525146484","79.27255249023438","76.70864868164062",""
"72","F12","false","-RT","Scspl2","NTC","SYBR","None","Amp","1.3620347942872637","","","31.274693206848823","0.9513520163576975","31.274693206848823","","true","0.047918776049736336","true","3","28","64.33499908447266","68.2365951538086","72.13819885253906",""
"73","G1","false","0oi 45min","Scspl2","UNKNOWN","SYBR","None","Amp","1.2037728588598655","","","25.518473114667913","0.8352785841804145","26.65684430662158","1.9520526033289256","true","0.047918776049736336","true","3","22","65.15645599365234","","",""
