Well	Cycle	ΔRn
C3	32	190729.640625
C3	33	190906.1875
C3	34	191037.28125
C3	35	191682.59375
C3	36	192380.90625
C3	37	192143.25
C3	38	191906.59375
C3	39	192400.375
C3	40	192169.609375
C4	1	-164.8125
C4	2	164.8125
C4	3	440.498046875
C4	4	851.8515625
C4	5	1592.9208984375
C4	6	2937.54296875
C4	7	5466.494140625
C4	8	10157.322265625
C4	9	18766.908203125
C4	10	34110.78125
C4	11	60131.59375
C4	12	96082.4609375
C4	13	135186.125
C4	14	161798.75
C4	15	173069.5625
C4	16	177223.328125
C4	17	181265.0625
C4	18	183924
C4	19	185737.703125
C4	20	187688.71875
C4	21	189341.0625
C4	22	191057.609375
C4	23	191631.8125
C4	24	192262.59375
C4	25	193484.96875
C4	26	194407.703125
C4	27	195900.40625
C4	28	196300.59375
C4	29	197030.875
C4	30	197497.78125
C4	31	198042.0625
C4	32	197950.921875
C4	33	199088.59375
C4	34	199676.078125
C4	35	199925.9375
C4	36	200847.75
C4	37	200106.796875
C4	38	201139.78125
C4	39	200439.640625
C4	40	200497.625
C5	1	-54.072265625
C5	2	54.072265625
C5	3	400.130859375
C5	4	761.5546875
C5	5	1459.2578125
C5	6	2530.1181640625
C5	7	4664.943359375
C5	8	8615.859375
C5	9	15886.0234375
C5	10	29338.6796875
C5	11	51616.88671875
C5	12	83862.265625
C5	13	120352.71875
C5	14	147355.3125
C5	15	158311.203125
C5	16	162867.5
C5	17	165671.671875
C5	18	168332.1875
C5	19	171062.234375
C5	20	172652.8125
C5	21	173647.28125
C5	22	175767.375
C5	23	176531.53125
C5	24	177160.984375
C5	25	178507.4375
C5	26	179576.046875
C5	27	179886.65625
C5	28	180984.28125
C5	29	182410.5625
C5	30	182230.125
C5	31	183160.34375
C5	32	183146.65625
C5	33	184131.34375
C5	34	184377.0625
C5	35	184045.265625
C5	36	185663.59375
C5	37	185067.90625
C5	38	185707.6875
C5	39	185443.375
C5	40	186163.4375
C6	1	
C6	2	
C6	3	
C6	4	
C6	5	
C6	6	
C6	7	
C6	8	
C6	9	
C6	10	
C6	11	
C6	12	
C6	13	
C6	14	
C6	15	
C6	16	
C6	17	
C6	18	
C6	19	
C6	20	
C6	21	
C6	22	
C6	23	
C6	24	
C6	25	
C6	26	
C6	27	
C6	28	
C6	29	
C6	30	
C6	31	
C6	32	
C6	33	
C6	34	
C6	35	
C6	36	
C6	37	
C6	38	
C6	39	
C6	40	
C7	1	
C7	2	
C7	3	
C7	4	
C7	5	
C7	6	
C7	7	
C7	8	
C7	9	
C7	10	
C7	11	
C7	12	
C7	13	
C7	14	
C7	15	
C7	16	
C7	17	
C7	18	
C7	19	
C7	20	
C7	21	
C7	22	
C7	23	
C7	24	
C7	25	
C7	26	
C7	27	
C7	28	
C7	29	
C7	30	
C7	31	
C7	32	
C7	33	
C7	34	
C7	35	
C7	36	
C7	37	
C7	38	
C7	39	
C7	40	
C8	1	
C8	2	
C8	3	
C8	4	
C8	5	
C8	6	
C8	7	
C8	8	
C8	9	
C8	10	
C8	11	
C8	12	
C8	13	
C8	14	
C8	15	
C8	16	
C8	17	
C8	18	
C8	19	
C8	20	
C8	21	
C8	22	
C8	23	
C8	24	
C8	25	
C8	26	
C8	27	
C8	28	
C8	29	
C8	30	
C8	31	
C8	32	
C8	33	
C8	34	
C8	35	
C8	36	
C8	37	
C8	38	
C8	39	
C8	40	
C9	1	
C9	2	
C9	3	
C9	4	
C9	5	
C9	6	
C9	7	
C9	8	
C9	9	
C9	10	
C9	11	
C9	12	
C9	13	
C9	14	
C9	15	
C9	16	
C9	17	
C9	18	
C9	19	
C9	20	
C9	21	
C9	22	
C9	23	
C9	24	
C9	25	
C9	26	
C9	27	
C9	28	
C9	29	
C9	30	
C9	31	
C9	32	
C9	33	
C9	34	
C9	35	
C9	36	
C9	37	
C9	38	
C9	39	
C9	40	
C10	1	
C10	2	
C10	3	
C10	4	
C10	5	
C10	6	
C10	7	
C10	8	
C10	9	
C10	10	
C10	11	
C10	12	
C10	13	
C10	14	
C10	15	
C10	16	
C10	17	
C10	18	
C10	19	
C10	20	
C10	21	
C10	22	
C10	23	
C10	24	
C10	25	
C10	26	
C10	27	
C10	28	
C10	29	
C10	30	
C10	31	
C10	32	
C10	33	
C10	34	
C10	35	
C10	36	
C10	37	
C10	38	
C10	39	
C10	40	
C11	1	
C11	2	
C11	3	
C11	4	
C11	5	
C11	6	
C11	7	
C11	8	
C11	9	
C11	10	
C11	11	
C11	12	
C11	13	
C11	14	
C11	15	
C11	16	
C11	17	
C11	18	
C11	19	
C11	20	
C11	21	
C11	22	
C11	23	
C11	24	
C11	25	
C11	26	
C11	27	
C11	28	
C11	29	
C11	30	
C11	31	
C11	32	
C11	33	
C11	34	
C11	35	
C11	36	
C11	37	
C11	38	
C11	39	
C11	40	
C12	1	
C12	2	
C12	3	
C12	4	
C12	5	
C12	6	
C12	7	
C12	8	
C12	9	
C12	10	
C12	11	
C12	12	
C12	13	
C12	14	
C12	15	
C12	16	
C12	17	
C12	18	
C12	19	
C12	20	
C12	21	
C12	22	
C12	23	
C12	24	
C12	25	
C12	26	
C12	27	
C12	28	
C12	29	
C12	30	
C12	31	
C12	32	
C12	33	
C12	34	
C12	35	
C12	36	
C12	37	
C12	38	
C12	39	
C12	40	
D1	1	-128.9120635986
D1	2	-86.2091064453
D1	3	-50.8216552734
D1	4	-17.714094162
D1	5	-18.1673545837
D1	6	15.6521806717
D1	7	24.1646175385
D1	8	34.5642929077
D1	9	20.2131748199
D1	10	10.3290977478
D1	11	22.1672801971
D1	12	23.7449645996
D1	13	5.6620645523
D1	14	1.6829859018
D1	15	-34.7246818542
D1	16	-9.0895633698
D1	17	-27.6633071899
D1	18	-57.4915084839
D1	19	-37.8972816467
D1	20	-48.4327583313
D1	21	-60.2613830566
D1	22	-27.9318695068
D1	23	-52.1878013611
D1	24	-72.2395172119
D1	25	-68.4611434937
D1	26	-84.927406311
D1	27	-76.7115402222
D1	28	-90.9055862427
D1	29	-88.5900421143
D1	30	-86.3511657715
D1	31	-95.652633667
D1	32	-103.3425292969
D1	33	-97.9100494385
D1	34	-113.6197738647
D1	35	-135.3316497803
D1	36	-129.7069549561
D1	37	-144.6361083984
D1	38	-156.4456329346
